title,name,email
Monsieur,BONNEFONT,angouleme@mairie-angouleme.fr
Monsieur,NIFENECKER,mairiebst@alsatis.net
Monsieur,BRIAND,secretariat@mairie-chateaubernard.fr
Monsieur,GOURINCHAS,mairie@ville-cognac.fr
Madame,BELLE,mairie.javrezac@wanadoo.fr
Monsieur,JOUSSON,mairie.louzacstandre@wanadoo.fr
Monsieur,DECOODT,mairie.merpins@wanadoo.fr
Monsieur,TESSENDIER,mairie.saintbrice.16@wanadoo.fr
Monsieur,CHOLLET,mairie-saint-laurent-de-cognac@wanadoo.fr
Monsieur,VIMPERE,mairie.agris@wanadoo.fr
Monsieur,BEAUCOURT,mairie.bunzac@wanadoo.fr
Monsieur,BARDOULAT,mairie-marillaclefranc@wanadoo.fr
Monsieur,LAC,mairie.pranzac@wanadoo.fr
Monsieur,GONZALEZ-REMARTINEZ,mairie.rancogne@wanadoo.fr
Monsieur,CUNY,mairie.rivieres@wanadoo.fr
Monsieur,VAYSSIERE,ville.larochefoucauld@wanadoo.fr
Monsieur,RINGEADE,mairie-larochette16@wanadoo.fr
Monsieur,MARSAUD,mairiest-projet-st-constant@wanadoo.fr
Monsieur,JACOB-JUIN,mairie.tpt@wanadoo.fr
Monsieur,GEIGER,mairie.yvracetmalleyrand@wanadoo.fr
Monsieur,DUFRONT,mairie-angeac-charente@orange.fr
Madame,ROY,maire@mairie-bassac.cegeteldsl.com
Monsieur,GUIARD,mairie.birac16@wanadoo.fr
Monsieur,GAYOUX,mairie.bonneuil@wanadoo.fr
Monsieur,DESLIAS,mairie.bouteville@wanadoo.fr
Monsieur,LEVESQUE,secretariat.des.elus@chateauneuf16.fr
Madame,HILLAIRET,mairie.eraville@wanadoo.fr
Monsieur,JOBIT,mairie.gravesstamant@wanadoo.fr
Monsieur,CHOLET,mairie.ladiville@wanadoo.fr
Monsieur,LAMBERT,mairie.malaville@wanadoo.fr
Monsieur,DEWEVRE,mairie.mosnac@wanadoo.fr
Madame,MARTINOT,nonaville16@wanadoo.fr
Monsieur,BERTON,mairie.saint-simeux@wanadoo.fr
Monsieur,DELAGE,mairiestsimon2@wanadoo.fr
Monsieur,DAUDIN,mairie-touzac16@orange.fr
Monsieur,GRIGNON,vibrac.mairie@wanadoo.fr
Monsieur,LALANNE,mairie.viville@orange.fr
Madame,FAURIE,mairieangeacchampagne@wanadoo.fr
Madame,TOURNADRE,mairie-ars-16@wanadoo.fr
Monsieur,MAUZÉ,gensac.mairie@wanadoo.fr
Monsieur,VALTAUD,mairiedegente@wanadoo.fr
Madame,NADEAU,mairie.gimeux@wanadoo.fr
Monsieur,NOUVEAU,mairiedejuillaclecoq@wanadoo.fr
Monsieur,MERCIER,mairie-lignieres-sonneville@wanadoo.fr
Monsieur,MARTIN,mairie.st-fort@wanadoo.fr
Madame,VIAN,mairie.saint-preuil@wanadoo.fr
Monsieur,GUILLOTON,mairie.sallesdangles@orange.fr
Madame,MARENDAT,mairie.segonzac@wanadoo.fr
Monsieur,DESAFIT,mairie-verrieres-gc@wanadoo.fr
Monsieur,AYRAULT,mairie-aigre@wanadoo.fr
Monsieur,COMBAUD,mairie.amberac@orange.fr
Monsieur,RAVION,barbezieres@wanadoo.fr
Monsieur,LIZOT,communebesse@wanadoo.fr
Monsieur,LOISON,mairie.la.chapelle@wanadoo.fr
Madame,MOREAU,mairiedecharme@orange.fr
Monsieur,GUYON,mairieebreon@wanadoo.fr
Monsieur,FLAUD,mairie-de-fouqueure@wanadoo.fr
Monsieur,TEXIER,les-gours.commune@orange.fr
Monsieur,AUTHIER,mairie.ligne@wanadoo.fr
Monsieur,DURAND,mairie-lupsault@wanadoo.fr
Monsieur,JEAN,marcillac.lanville@wanadoo.fr
Monsieur,MESNARD,mairie-mons@wanadoo.fr
Monsieur,ROUSSEAU,mairie-oradour@wanadoo.fr
Monsieur,BROUTÉ,mairie.ranville.breuillaud@wanadoo.fr
Monsieur,BONNET,contact@mairie-saint-fraigne.fr
Monsieur,LHERIDEAU,mairie.tusson@wanadoo.fr
Monsieur,TOURNAT,mairie.verdille@wanadoo.fr
Madame,CAILLAUD,mairie.villejesus@wanadoo.fr
Madame,POINET,mairie-chabanais@wanadoo.fr
Monsieur,CANIN,chabrac.cne@wanadoo.fr
Monsieur,STRACK,mairie.chassenon@wanadoo.fr
Monsieur,MASSIAS,mairie.chirac@wanadoo.fr
Monsieur,DE RICHEMONT,mairie.etagnac@orange.fr
Monsieur,DUVERGNE,communedexideuil@wanadoo.fr
Monsieur,FAURE,mairie.pressignac@wanadoo.fr
Madame,ROUSSEAU,st-quentin-sur-charente.cne@wanadoo.fr
Monsieur,DEZIER,ville-gondpontouvre@wanadoo.fr
Monsieur,VOUDON,mairieanville@orange.fr
Monsieur,LESAGE,mairie.auge-stmedard@wanadoo.fr
Monsieur,FOUCHIER,mairiebignac@wanadoo.fr
Monsieur,GAUVIN,mairie.bonneville@wanadoo.fr
Monsieur,LAIDET,mairie@echallat.fr
Monsieur,PINAUD,mairie-genac@wanadoo.fr
Madame,BASSET,mairie_gourville@yahoo.fr
Madame,RODET,mareuilcharente@wanadoo.fr
Monsieur,DEVIGE,mairie.montigne@wanadoo.fr
Monsieur,VIGNAUD,communeplaizac@orange.fr
Monsieur,TRAINAUD,mairie@ville-rouillac.fr
Monsieur,LABROUSSE,mairie.stamantdenouere@orange.fr
Monsieur,ROY,mairie.stcybardeaux@wanadoo.fr
Monsieur,TURQAT,mairie.sonneville16@laposte.net
Monsieur,CHAUVET,mairie-vaux@wanadoo.fr
Madame,MARTY,mairie.aignes@wanadoo.fr
Monsieur,MAUSSION,mairie.borsdemontmoreau@wanadoo.fr
Monsieur,TOUZEAU,mairie.courgeac@wanadoo.fr
Monsieur,BORDE,mairie.deviat@wanadoo.fr
Monsieur,DELAUNAY,mairie.juignac@wanadoo.fr
Monsieur,VINET,mairie.montmoreaustcybard@wanadoo.fr
Madame,GALLAIS,mairie.nonac@wanadoo.fr
Madame,NEESER,mairie.poullignac@wanadoo.fr
Monsieur,BOLVIN,mairie.saintamanddemontmoreau@wanadoo.fr
Monsieur,LAPORTE,mairie.sainteutrope@wanadoo.fr
Monsieur,MICHELET,mairiestlaurentdebelzagot@wanadoo.fr
Monsieur,MIKLASZEWSKI,mairie.saintmartial@wanadoo.fr
Monsieur,GENDRON,mairie.salleslavalette@wanadoo.fr
Monsieur,SOURISSEAU,mairie-bourg-chte@wanadoo.fr
Monsieur,LAFARGE,mairie.chassors@wanadoo.fr
Monsieur,RIPOCHE,communedecourbillac@orange.fr
Madame,DESCHAMPHAMLAÈRE,mairiedefleurac@orange.fr
Monsieur,DEVIGE,commune-de-foussignac@wanadoo.fr
Madame,DUMONT,mairiedegondeville@wanadoo.fr
Madame,MARTAUD,commune.houlette@wanadoo.fr
